"","country","country_long","name","gppd_idnr","capacity_mw","latitude","longitude","primary_fuel","other_fuel1","other_fuel2","other_fuel3","commissioning_year","owner","source","url","geolocation_source","wepp_id","year_of_capacity_data","generation_gwh_2013","generation_gwh_2014","generation_gwh_2015","generation_gwh_2016","generation_gwh_2017","generation_gwh_2018","generation_gwh_2019","generation_data_source","estimated_generation_gwh_2013","estimated_generation_gwh_2014","estimated_generation_gwh_2015","estimated_generation_gwh_2016","estimated_generation_gwh_2017","estimated_generation_note_2013","estimated_generation_note_2014","estimated_generation_note_2015","estimated_generation_note_2016","estimated_generation_note_2017"
"1424","BRA","Brazil","Bompreço Maceió","BRA0031495",1,-9.6618,-35.7258,"Oil","","","",2013,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","",2017,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1.97,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"1425","BRA","Brazil","Bompreço Passo Fundo","BRA0031499",1,-28.2588,-52.3972,"Oil","","","",2013,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","",2017,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,1.97,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"1426","BRA","Brazil","Bonfante","BRA0000291",19,-22.0089,-43.2653,"Hydro","","","",2008,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","1063444",2017,NA,NA,NA,NA,NA,NA,NA,"",74.19,72.24,82.88,83.21,66.27,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"1427","BRA","Brazil","Bons Ventos","BRA0028887",50,-4.4472,-37.7596,"Wind","","","",2010,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","1070857",2017,NA,NA,NA,NA,NA,NA,NA,"",192.85,183.75,178.5,165.22,171.33,"WIND-V1","WIND-V1","WIND-V1","WIND-V1","WIND-V1"
"1428","BRA","Brazil","Boqueirão","BRA0031090",1,-7.4878,-36.1386,"Hydro","","","",2013,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","",2017,NA,NA,NA,NA,NA,NA,NA,"",1.59,3.44,3.13,3.15,2.74,"HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1","HYDRO-V1"
"1429","BRA","Brazil","Borgo","BRA0030837",20.16,-14.5084,-42.5867,"Wind","","","",2016,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","1102943",2017,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,80.67,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","WIND-V1"
"1430","BRA","Brazil","Bortolo Carolo","BRA0027339",8,-20.9967,-48.0154,"Biomass","","","",1994,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","",2017,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION"
"1431","BRA","Brazil","Brahma","BRA0027352",13.08,-22.9192,-43.4408,"Gas","","","",NA,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","",2017,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,86.22,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"1432","BRA","Brazil","Branco Peres","BRA0027947",3.98,-21.4838,-51.0189,"Biomass","","","",2005,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","",2017,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION"
"1433","BRA","Brazil","Brasil Verde","BRA0028516",1.2,-19.749,-44.8875,"Coal","","","",2003,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","",2017,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,8.98,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"1434","BRA","Brazil","Brasilgráfica","BRA0029578",1.2,-23.507,-46.8665,"Oil","","","",NA,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","",2017,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2.37,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
"1435","BRA","Brazil","Braskem PVC-AL","BRA0030673",2.9,-9.6746,-35.9565,"Gas","","","",1990,"","Agência Nacional de Energia Elétrica (Brazil)","http://www2.aneel.gov.br/aplicacoes/capacidadebrasil/capacidadebrasil.cfm","Agência Nacional de Energia Elétrica (Brazil)","",2017,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,19.11,"NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","NO-ESTIMATION","CAPACITY-FACTOR-V1"
