,latitude,longitude,NO2gm,NO2mol,NO2mol_prec,plant_dist,popdens
91198,-23.9002437591553,-45.4050331115723,0.0005666160668624,1.2317740583967e-05,2.27672044275096e-05,31555.8562277705,11.360041837803825
91199,-23.8922100067139,-45.3697700500488,0.0002927837658717,6.36486447547213e-06,2.47057614615187e-05,30862.876148833,12.36515096818994
91200,-23.8842010498047,-45.334545135498,0.0010295082720404,2.2380614609574e-05,2.27454947889782e-05,30622.3440705661,3.746369234193421
91201,-23.8762187957764,-45.2993659973145,0.0003009750889759,6.54293671686901e-06,1.96053188119549e-05,30843.1225148734,8.79630002959519
91610,-23.8510913848877,-45.417163848877,0.0011750170961022,2.5543849915266e-05,1.89190504897851e-05,26130.9701618985,385.7049793327982
91611,-23.8430595397949,-45.3819122314453,0.0001821981322791,3.96082896259031e-06,1.92430470633553e-05,25300.6887066791,443.26596818136693
91612,-23.8350505828857,-45.3467025756836,0.0006099420443206,1.32596096591442e-05,2.0297899027355e-05,25016.6872196139,650.6280086461542
91613,-23.8270702362061,-45.3115348815918,0.0017768209290807,3.86265419365373e-05,2.51715337071801e-05,25295.8055548614,2.2225256263283066
91999,-23.9949321746826,-46.2556495666504,0.0102386471116915,0.0002225792850367,7.03309997334145e-05,11385.1311133355,3688.134183843975
92000,-23.9861679077148,-46.218921661377,0.01044629063108,0.0002270932745886,7.33893903088756e-05,14856.2383435984,2900.9659130608143
92021,-23.8099880218506,-45.4645385742188,0.0008312886493513,1.8071492377203e-05,2.00050144485431e-05,22434.2315649826,244.09724527611877
92022,-23.801929473877,-45.429256439209,0.0015507628777413,3.37122364726383e-05,2.15958389162552e-05,20800.5360773098,821.8204153002494
92023,-23.7938976287842,-45.3940200805664,0.0014827237610006,3.2233125239145e-05,1.97088138520485e-05,19761.9521632689,1871.2401634930893
92024,-23.7858905792236,-45.3588256835938,0.0007817588666512,1.69947579706786e-05,1.74934066308197e-05,19411.0211843012,824.9417961114251
92025,-23.7779102325439,-45.3236694335938,0.0004819860405405,1.04779574030545e-05,2.10500493267318e-05,19781.9457267628,261.9810069220065
92026,-23.7699527740479,-45.2885551452637,0.000231834891565,5.03988894706708e-06,2.08151850529248e-05,20833.1788643603,0.6803148504933356
92027,-23.7620220184326,-45.2534790039062,0.0006741304223396,1.46550091812969e-05,1.93105079233646e-05,22467.600138942,3.2439238098412773
92406,-23.9991493225098,-46.4895782470703,0.0192015261854976,0.0004174244822934,0.0001340184971923,10328.5855075266,4060.4736730065124
92407,-23.9901466369629,-46.4523048400879,0.0182944651460275,0.000397705764044,0.0001278253621421,7376.21241248381,4513.724212913605
92408,-23.9811859130859,-46.4151306152344,0.0181653508916497,0.0003948989324271,0.0001237064425367,5306.05965110987,5885.46137950938
92409,-23.9722652435303,-46.3780555725098,0.0164394755847752,0.0003573799040168,0.0001220024278154,1758.01812362967,10666.116459305438
92410,-23.9633865356445,-46.3410720825195,0.0168242867221124,0.0003657453635241,0.0001327860809396,1963.67195179069,11445.704325909126
